Model,D_A(z*=1100) / LCDM,Δℓ (approx),D_V(0.35) / LCDM,D_V(0.57) / LCDM,Growth D(z=1) / LCDM
Waveframe γ=0.02,309.06712963808195,67774.76852037803,1.126101587112327,1.2228034677390842,0.8384074048670755
Waveframe γ=0.05,245.71598732405644,53837.51721129242,1.1191398722858903,1.2112740239853854,0.8480997566190229
Waveframe γ=0.08,182.36484501003082,39900.26590220678,1.1121733939853105,1.1997332685992141,0.8578635781869556
